score_win,score_lose,num,label
1,2,59626,0
2,1,59626,1
3,2,14126,1
2,3,14126,0
2,1,11875,1
1,2,11875,0
5,0,10898,1
0,5,10898,0
1,0,19580,1
0,1,19580,0
1,0,9183,1
0,1,9183,0
0,3,9259,0
3,0,9259,1
1,0,10332,1
0,1,10332,0
3,2,9403,1
2,3,9403,0
2,1,46959,1
1,2,46959,0
1,1,11267,1
1,1,11267,0
1,2,36863,0
2,1,36863,1
3,1,7469,1
1,3,7469,0
2,1,14713,1
1,2,14713,0
0,3,15993,0
3,0,15993,1
1,1,16707,1
1,1,16707,0
1,0,12858,1
0,1,12858,0
1,2,12544,0
2,1,12544,1
1,0,45033,1
0,1,45033,0
1,0,9816,1
0,1,9816,0
0,5,11152,0
5,0,11152,1
1,2,15141,0
2,1,15141,1
4,0,14058,1
0,4,14058,0
0,0,50475,1
0,0,50475,0
1,1,9690,1
1,1,9690,0
2,4,18113,0
4,2,18113,1
2,1,15194,1
1,2,15194,0
1,4,11466,0
4,1,11466,1
0,1,9088,0
1,0,9088,1
0,1,9725,0
1,0,9725,1
1,1,54995,1
1,1,54995,0
0,2,28595,0
2,0,28595,1
3,1,38304,1
1,3,38304,0
1,2,9427,0
2,1,9427,1
1,0,14605,1
0,1,14605,0
1,2,9464,0
2,1,9464,1
1,1,19351,1
1,1,19351,0
3,1,15050,1
1,3,15050,0
3,1,56335,1
1,3,56335,0
1,0,13663,1
0,1,13663,0
3,1,20947,1
1,3,20947,0
1,0,10058,1
0,1,10058,0
3,2,11734,1
2,3,11734,0
0,1,25131,0
1,0,25131,1
2,1,9590,1
1,2,9590,0
2,1,19247,1
1,2,19247,0
3,1,12227,1
1,3,12227,0
0,3,13923,0
3,0,13923,1
2,1,10054,1
1,2,10054,0
2,0,14886,1
0,2,14886,0
1,3,8953,0
3,1,8953,1
1,0,9042,1
0,1,9042,0
1,0,8726,1
0,1,8726,0
0,4,10898,0
4,0,10898,1
2,0,53376,1
0,2,53376,0
3,2,11863,1
2,3,11863,0
3,2,15703,1
2,3,15703,0
2,3,8514,0
3,2,8514,1
1,2,15328,0
2,1,15328,1
3,2,15777,1
2,3,15777,0
3,1,29102,1
1,3,29102,0
2,4,20318,0
4,2,20318,1
1,3,10116,0
3,1,10116,1
1,2,13680,0
2,1,13680,1
1,0,10078,1
0,1,10078,0
5,1,12110,1
1,5,12110,0
2,1,16506,1
1,2,16506,0
2,0,9709,1
0,2,9709,0
1,1,10067,1
1,1,10067,0
0,2,17990,0
2,0,17990,1
3,1,14976,1
1,3,14976,0
2,3,12167,0
3,2,12167,1
1,0,9013,1
0,1,9013,0
4,1,9290,1
1,4,9290,0
0,0,14552,1
0,0,14552,0
1,0,8941,1
0,1,8941,0
5,0,10225,1
0,5,10225,0
3,1,12199,1
1,3,12199,0
4,3,12731,1
3,4,12731,0
0,2,9325,0
2,0,9325,1
2,3,21447,0
3,2,21447,1
1,2,15055,0
2,1,15055,1
0,1,26370,0
1,0,26370,1
1,0,13943,1
0,1,13943,0
0,0,9448,1
0,0,9448,0
0,2,8905,0
2,0,8905,1
0,1,9113,0
1,0,9113,1
1,0,12280,1
0,1,12280,0
1,2,14673,0
2,1,14673,1
2,0,10100,1
0,2,10100,0
1,0,9358,1
0,1,9358,0
1,2,38757,0
2,1,38757,1
3,0,14248,1
0,3,14248,0
4,0,13067,1
0,4,13067,0
0,1,22677,0
1,0,22677,1
2,1,8991,1
1,2,8991,0
0,0,9375,1
0,0,9375,0
1,1,14747,1
1,1,14747,0
2,0,27674,1
0,2,27674,0
2,3,12425,0
3,2,12425,1
0,1,20259,0
1,0,20259,1
5,2,10551,1
2,5,10551,0
0,4,13146,0
4,0,13146,1
2,1,10150,1
1,2,10150,0
3,0,12758,1
0,3,12758,0
2,1,21745,1
1,2,21745,0
1,1,14152,1
1,1,14152,0
4,1,11858,1
1,4,11858,0
0,1,13133,0
1,0,13133,1
0,2,34872,0
2,0,34872,1
2,1,21509,1
1,2,21509,0
1,2,14035,0
2,1,14035,1
2,3,9366,0
3,2,9366,1
3,0,10195,1
0,3,10195,0
0,1,25301,0
1,0,25301,1
3,1,54977,1
1,3,54977,0
0,1,9267,0
1,0,9267,1
0,1,13938,0
1,0,13938,1
2,0,20438,1
0,2,20438,0
1,2,14102,0
2,1,14102,1
3,0,8699,1
0,3,8699,0
2,2,17226,1
2,2,17226,0
0,2,27356,0
2,0,27356,1
0,1,51082,0
1,0,51082,1
4,3,13923,1
3,4,13923,0
0,0,28625,1
0,0,28625,0
1,3,10515,0
3,1,10515,1
2,0,14450,1
0,2,14450,0
0,0,21330,1
0,0,21330,0
2,0,14353,1
0,2,14353,0
3,2,9005,1
2,3,9005,0
1,0,11016,1
0,1,11016,0
0,6,9771,0
6,0,9771,1
1,2,10467,0
2,1,10467,1
3,2,13257,1
2,3,13257,0
0,0,10199,1
0,0,10199,0
3,2,14207,1
2,3,14207,0
1,2,45748,0
2,1,45748,1
2,1,11584,1
1,2,11584,0
0,4,41054,0
4,0,41054,1
1,2,8258,0
2,1,8258,1
1,1,17540,1
1,1,17540,0
3,4,13417,0
4,3,13417,1
1,0,55243,1
0,1,55243,0
1,0,13205,1
0,1,13205,0
1,4,19524,0
4,1,19524,1
0,5,9347,0
5,0,9347,1
3,1,16080,1
1,3,16080,0
3,6,19290,0
6,3,19290,1
3,2,14235,1
2,3,14235,0
2,3,53570,0
3,2,53570,1
2,0,16889,1
0,2,16889,0
2,3,14186,0
3,2,14186,1
4,0,13589,1
0,4,13589,0
1,3,13906,0
3,1,13906,1
2,1,15121,1
1,2,15121,0
3,4,10395,0
4,3,10395,1
0,2,9231,0
2,0,9231,1
1,2,26584,0
2,1,26584,1
1,2,14640,0
2,1,14640,1
0,1,29091,0
1,0,29091,1
0,2,50348,0
2,0,50348,1
2,2,13069,1
2,2,13069,0
2,0,27495,1
0,2,27495,0
